nac_id,x,y
M106777343RC,2779.32893,19759.84463
M113853974RC,3726.91736,47274.55537
M122108795LC,2835.21818,44611.3438
M129187331LC,3067.12066,24792.9124
M131548593RC,2954.58347,2179.76529
M144524996LC,492.67438,18371.97025
M152770233RC,1572.52562,32207.46942
M152777016RC,1369.2,32779.2595
M177535538LC,2100.3124,38004.01983
M181058717RC,3249.96198,21421.85455
M181073012RC,2982.40165,21466.61653
M192846075RC,3825.79835,27282.38678
M1108182629LC,3075.46612,23591.67273
M1114063911LC,1567.97355,48435.07934
M1136456506RC,3144.75868,18578.58347
M1182366809LC,1574.04298,24469.20992
M1192972385RC,392.52893,23744.92562
M1282366833LC,4693.72562,26258.67769
M1297638087LC,4398.34711,30005.78678
